stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,axis_x,axis_y
10,tour,0,12,10,0.30,8000,3203,0,0,4797,1508,1.0000,0.0000
10,tour,1,3,10,0.30,8000,3087,0,0,4913,1513,0.1059,-0.9944
10,tour,1,6,10,0.30,8000,2939,0,0,5061,1503,-1.0000,0.0000
10,tour,1,12,10,0.30,8000,3413,0,0,4587,1511,1.0000,0.0000
10,tour,2,3,10,0.40,8000,2954,0,0,5046,1508,0.1916,-0.9815
10,tour,2,6,10,0.30,8000,2876,0,0,5124,1511,-1.0000,0.0000
10,tour,2,12,10,0.30,8000,3637,0,0,4363,1508,1.0000,0.0000
10,tour,3,3,10,0.40,8000,2776,0,0,5224,1510,0.3045,-0.9525
10,tour,3,6,10,0.30,8000,2860,0,0,5140,1508,-1.0000,0.0000
10,tour,3,12,10,0.40,8000,3997,0,0,4003,1506,1.0000,0.0000
10,tour,4,3,10,0.40,8000,2475,0,0,5525,1513,0.4519,-0.8920
10,tour,4,6,10,0.30,8000,2696,0,0,5304,1510,-1.0000,0.0000
10,tour,4,12,10,0.30,8000,4580,0,0,3420,1509,1.0000,0.0000
10,tour,5,3,10,0.50,8000,2190,0,0,5810,1510,0.5931,-0.8051
10,tour,5,6,10,0.30,8000,2510,0,0,5490,1510,-1.0000,0.0000
10,tour,5,12,10,0.30,8000,5384,0,0,2616,1507,1.0000,0.0000
10,tour,0,12,15,0.40,8000,1921,0,0,6079,1508,1.0000,0.0000
10,tour,1,3,15,0.40,8000,1820,0,0,6180,1511,0.1122,-0.9937
10,tour,1,6,15,0.40,8000,1764,0,0,6236,1512,-1.0000,0.0000
10,tour,1,12,15,0.30,8000,1982,0,0,6018,1514,1.0000,0.0000
10,tour,2,3,15,0.40,8000,1775,0,0,6225,1512,0.2319,-0.9727
10,tour,2,6,15,0.40,8000,1662,0,0,6338,1513,-1.0000,0.0000
10,tour,2,12,15,0.40,8000,2267,0,0,5733,1510,1.0000,0.0000
10,tour,3,3,15,0.50,8000,1679,0,0,6321,1509,0.3346,-0.9424
10,tour,3,6,15,0.40,8000,1586,0,0,6414,1513,-1.0000,0.0000
10,tour,3,12,15,0.40,8000,2577,0,0,5423,1508,1.0000,0.0000
10,tour,4,3,15,0.40,8000,1473,0,0,6527,1512,0.5433,-0.8395
10,tour,4,6,15,0.40,8000,1563,0,0,6437,1515,-1.0000,0.0000
10,tour,4,12,15,0.40,8000,2919,0,0,5081,1506,1.0000,0.0000
10,tour,5,3,15,0.40,8000,1309,0,0,6691,1510,0.7667,-0.6420
10,tour,5,6,15,0.40,8000,1417,0,0,6583,1512,-1.0000,0.0000
10,tour,5,12,15,0.40,8000,3555,0,0,4445,1505,1.0000,0.0000
