stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,ball_x_m,ball_y_m,axis_x,axis_y
10,tour,0,12,10,0.30,10000,3985,0,0,6015,1508,-3.048,0.000,1.0000,0.0000
10,tour,1,3,10,0.30,10000,3876,0,0,6124,1511,0.000,3.048,0.1059,-0.9944
10,tour,1,6,10,0.30,10000,3701,0,0,6299,1511,3.048,0.000,-1.0000,0.0000
10,tour,1,12,10,0.30,10000,4248,0,0,5752,1513,-3.048,0.000,1.0000,0.0000
10,tour,2,3,10,0.40,10000,3702,0,0,6298,1507,0.000,3.048,0.1916,-0.9815
10,tour,2,6,10,0.30,10000,3594,0,0,6406,1508,3.048,0.000,-1.0000,0.0000
10,tour,2,12,10,0.30,10000,4539,0,0,5461,1510,-3.048,0.000,1.0000,0.0000
10,tour,3,3,10,0.40,10000,3470,0,0,6530,1511,0.000,3.048,0.3045,-0.9525
10,tour,3,6,10,0.30,10000,3587,0,0,6413,1508,3.048,0.000,-1.0000,0.0000
10,tour,3,12,10,0.30,10000,4984,0,0,5016,1507,-3.048,0.000,1.0000,0.0000
10,tour,4,3,10,0.40,10000,3104,0,0,6896,1514,0.000,3.048,0.4519,-0.8920
10,tour,4,6,10,0.30,10000,3351,0,0,6649,1511,3.048,0.000,-1.0000,0.0000
10,tour,4,12,10,0.30,10000,5713,0,0,4287,1511,-3.048,0.000,1.0000,0.0000
10,tour,5,3,10,0.50,10000,2729,0,0,7271,1512,0.000,3.048,0.5931,-0.8051
10,tour,5,6,10,0.30,10000,3149,0,0,6851,1510,3.048,0.000,-1.0000,0.0000
10,tour,5,12,10,0.30,10000,6739,0,0,3261,1507,-3.048,0.000,1.0000,0.0000
10,tour,0,12,15,0.40,10000,2393,0,0,7607,1512,-4.572,0.000,1.0000,0.0000
10,tour,1,3,15,0.40,10000,2253,0,0,7747,1511,0.000,4.572,0.1122,-0.9937
10,tour,1,6,15,0.40,10000,2192,0,0,7808,1511,4.572,0.000,-1.0000,0.0000
10,tour,1,12,15,0.30,10000,2449,0,0,7551,1511,-4.572,0.000,1.0000,0.0000
10,tour,2,3,15,0.40,10000,2220,0,0,7780,1511,0.000,4.572,0.2319,-0.9727
10,tour,2,6,15,0.40,10000,2116,0,0,7884,1512,4.572,0.000,-1.0000,0.0000
10,tour,2,12,15,0.40,10000,2817,0,0,7183,1512,-4.572,0.000,1.0000,0.0000
10,tour,3,3,15,0.50,10000,2107,0,0,7893,1511,0.000,4.572,0.3346,-0.9424
10,tour,3,6,15,0.40,10000,1972,0,0,8028,1516,4.572,0.000,-1.0000,0.0000
10,tour,3,12,15,0.40,10000,3214,0,0,6786,1513,-4.572,0.000,1.0000,0.0000
10,tour,4,3,15,0.40,10000,1808,0,0,8192,1514,0.000,4.572,0.5433,-0.8395
10,tour,4,6,15,0.40,10000,1931,0,0,8069,1515,4.572,0.000,-1.0000,0.0000
10,tour,4,12,15,0.40,10000,3634,0,0,6366,1511,-4.572,0.000,1.0000,0.0000
10,tour,5,3,15,0.40,10000,1621,0,0,8379,1509,0.000,4.572,0.7667,-0.6420
10,tour,5,6,15,0.40,10000,1788,0,0,8212,1510,4.572,0.000,-1.0000,0.0000
10,tour,5,12,15,0.40,10000,4448,0,0,5552,1509,-4.572,0.000,1.0000,0.0000
10,tour,0,12,20,0.40,10000,1563,0,0,8437,1510,-6.096,0.000,1.0000,0.0000
10,tour,1,3,20,0.30,10000,1460,0,0,8540,1513,0.000,6.096,0.1423,-0.9898
10,tour,1,6,20,0.40,10000,1402,0,0,8598,1513,6.096,0.000,-1.0000,0.0000
10,tour,1,12,20,0.40,10000,1623,0,0,8377,1511,-6.096,0.000,1.0000,0.0000
10,tour,2,3,20,0.30,10000,1391,0,0,8609,1513,0.000,6.096,0.2938,-0.9559
