green,pin_x_m,pin_y_m,stimp,skill,mode,hour,ball_x_m,ball_y_m,dist_ft,slope_at_pin_pct,rollout_m,status,make,make_se,three_plus,exp_strokes,exp_strokes_se,off_green_pct,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.00,ok,0.11500,0.00357,0.00565,1.89065,0.00360,0.00000,0.3371,0.5606,0.4077,0.03527,0.00380
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.10,ok,0.13587,0.00383,0.00737,1.87149,0.00387,0.00000,0.3914,0.4613,0.4204,0.01611,0.00283
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.20,ok,0.15050,0.00400,0.01065,1.86015,0.00406,0.00000,0.4423,0.3718,0.4494,0.00476,0.00201
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.30,ok,0.16075,0.00411,0.01613,1.85538,0.00421,0.00000,0.5024,0.2919,0.4955,0.00000,0.00000
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.40,ok,0.16587,0.00416,0.02390,1.85802,0.00432,0.00000,0.5693,0.2249,0.5538,0.00264,0.00190
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.50,ok,0.16637,0.00416,0.03318,1.86681,0.00439,0.00000,0.6308,0.1685,0.6168,0.01142,0.00246
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.60,ok,0.16737,0.00417,0.04602,1.87864,0.00449,0.00000,0.7066,0.1215,0.6960,0.02326,0.00295
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.70,ok,0.16600,0.00416,0.06018,1.89418,0.00457,0.00000,0.7809,0.0878,0.7750,0.03880,0.00322
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.80,ok,0.16425,0.00414,0.07733,1.91308,0.00466,0.00000,0.8627,0.0604,0.8633,0.05769,0.00353
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,0.90,ok,0.16000,0.00410,0.09664,1.93664,0.00474,0.00000,0.9479,0.0418,0.9534,0.08126,0.00379
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,1.00,ok,0.15563,0.00405,0.11778,1.96216,0.00481,0.00000,1.0357,0.0290,1.0449,0.10678,0.00395
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,1.10,ok,0.14950,0.00399,0.14077,1.99128,0.00487,0.00000,1.1265,0.0212,1.1375,0.13590,0.00409
hole_07,0.000,0.000,10,tour,fall,1,4.207,-4.411,20.00,2.03,1.20,ok,0.14425,0.00393,0.16595,2.02171,0.00494,0.00000,1.2191,0.0120,1.2359,0.16633,0.00428
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.00,ok,0.06450,0.00275,0.03467,1.97019,0.00295,0.00000,0.3967,0.5382,0.5231,0.00000,0.00000
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.10,ok,0.06925,0.00284,0.04060,1.97136,0.00309,0.00000,0.4496,0.4523,0.5380,0.00117,0.00191
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.20,ok,0.07550,0.00295,0.04963,1.97415,0.00327,0.00000,0.5019,0.3810,0.5657,0.00396,0.00250
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.30,ok,0.08175,0.00306,0.06251,1.98079,0.00347,0.00000,0.5603,0.3160,0.6070,0.01060,0.00298
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.40,ok,0.08413,0.00310,0.07975,1.99566,0.00363,0.00000,0.6246,0.2551,0.6603,0.02547,0.00334
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.50,ok,0.08563,0.00313,0.09807,2.01249,0.00377,0.00000,0.6821,0.2025,0.7172,0.04230,0.00359
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.60,ok,0.08700,0.00315,0.12166,2.03472,0.00393,0.00000,0.7547,0.1559,0.7898,0.06453,0.00399
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.70,ok,0.08625,0.00314,0.14530,2.05913,0.00405,0.00000,0.8231,0.1219,0.8602,0.08895,0.00415
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.80,ok,0.08687,0.00315,0.17206,2.08530,0.00420,0.00000,0.8960,0.0888,0.9404,0.11511,0.00436
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,0.90,ok,0.08400,0.00310,0.20122,2.11737,0.00428,0.00000,0.9771,0.0658,1.0253,0.14718,0.00453
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,1.00,ok,0.08113,0.00305,0.23118,2.15025,0.00436,0.00000,1.0591,0.0472,1.1123,0.18006,0.00468
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,1.10,ok,0.07737,0.00299,0.26185,2.18473,0.00440,0.00000,1.1478,0.0373,1.2007,0.21454,0.00479
hole_07,0.000,0.000,10,mid,fall,1,4.207,-4.411,20.00,2.03,1.20,ok,0.07475,0.00294,0.29322,2.21879,0.00446,0.00000,1.2373,0.0272,1.2932,0.24861,0.00490
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.00,ok,0.05000,0.00244,0.27360,2.23516,0.00436,0.00000,0.8501,0.5322,0.9462,0.00000,0.00000
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.10,ok,0.05312,0.00251,0.28071,2.23955,0.00447,0.00000,0.9265,0.4902,0.9640,0.00439,0.00236
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.20,ok,0.05550,0.00256,0.29049,2.24759,0.00458,0.00000,0.9802,0.4508,0.9899,0.01244,0.00317
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.30,ok,0.05500,0.00255,0.30287,2.26139,0.00464,0.00000,1.0416,0.4165,1.0225,0.02623,0.00369
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.40,ok,0.05538,0.00256,0.31711,2.27642,0.00473,0.00000,1.0973,0.3779,1.0629,0.04126,0.00419
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.50,ok,0.05588,0.00257,0.33157,2.29180,0.00482,0.01250,1.1535,0.3473,1.1050,0.05664,0.00449
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.60,ok,0.05775,0.00261,0.34910,2.30914,0.00495,0.01250,1.2218,0.3152,1.1608,0.07398,0.00482
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.70,ok,0.05788,0.00261,0.36588,2.32767,0.00504,0.02500,1.2899,0.2929,1.2129,0.09251,0.00504
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.80,ok,0.06000,0.00266,0.38345,2.34513,0.00516,0.02500,1.3610,0.2694,1.2733,0.10997,0.00532
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,0.90,ok,0.05975,0.00265,0.40241,2.36661,0.00523,0.02500,1.4315,0.2463,1.3374,0.13145,0.00557
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,1.00,ok,0.05912,0.00264,0.42235,2.38990,0.00530,0.03750,1.5040,0.2245,1.4062,0.15474,0.00578
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,1.10,ok,0.05800,0.00261,0.44195,2.41376,0.00536,0.07500,1.5720,0.2042,1.4740,0.17861,0.00600
hole_07,0.000,0.000,10,hcp30,fall,1,4.207,-4.411,20.00,2.03,1.20,ok,0.05663,0.00258,0.46242,2.43870,0.00540,0.07500,1.6507,0.1862,1.5508,0.20355,0.00615
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.00,ok,0.10150,0.00338,0.00558,1.90408,0.00341,0.00000,0.2958,0.5431,0.4053,0.02938,0.00399
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.10,ok,0.11812,0.00361,0.00733,1.88920,0.00365,0.00000,0.3793,0.4400,0.4210,0.01450,0.00306
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.20,ok,0.12950,0.00375,0.01050,1.88100,0.00382,0.00000,0.4377,0.3568,0.4516,0.00629,0.00211
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.30,ok,0.14075,0.00389,0.01546,1.87471,0.00399,0.00000,0.4980,0.2841,0.4960,0.00000,0.00000
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.40,ok,0.14338,0.00392,0.02294,1.87957,0.00407,0.00000,0.5609,0.2142,0.5551,0.00486,0.00205
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.50,ok,0.14863,0.00398,0.03271,1.88409,0.00419,0.00000,0.6253,0.1531,0.6243,0.00938,0.00279
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.60,ok,0.15063,0.00400,0.04454,1.89392,0.00429,0.00000,0.6948,0.1082,0.6997,0.01921,0.00333
hole_07,0.000,0.000,10,tour,fall,2,1.438,-5.924,20.00,2.03,0.70,ok,0.14713,0.00396,0.05991,1.91279,0.00435,0.00000,0.7766,0.0777,0.7837,0.03808,0.00366
