stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,tour,0,12,10,0.00,true,0.27000,0.00496,0.00007,1.73007,0.00496,0.1669,0.6368,0.1973,0.12887,0.00480
10,tour,0,12,10,0.10,true,0.33963,0.00529,0.00018,1.66055,0.00530,0.2142,0.4304,0.2137,0.05936,0.00384
10,tour,0,12,10,0.20,true,0.38712,0.00545,0.00057,1.61345,0.00545,0.2744,0.2435,0.2660,0.01225,0.00252
10,tour,0,12,10,0.30,true,0.40037,0.00548,0.00157,1.60119,0.00549,0.3444,0.1149,0.3414,0.00000,0.00000
10,tour,0,12,10,0.40,true,0.39837,0.00547,0.00367,1.60529,0.00551,0.4267,0.0488,0.4298,0.00410,0.00202
10,tour,0,12,10,0.50,true,0.38950,0.00545,0.00755,1.61806,0.00552,0.5164,0.0149,0.5257,0.01687,0.00261
10,tour,0,12,10,0.60,true,0.37362,0.00541,0.01407,1.64046,0.00554,0.6131,0.0062,0.6226,0.03927,0.00301
10,tour,0,12,10,0.70,true,0.35800,0.00536,0.02364,1.66566,0.00557,0.7117,0.0018,0.7215,0.06447,0.00336
10,tour,0,12,10,0.80,true,0.34263,0.00531,0.03649,1.69389,0.00562,0.8107,0.0002,0.8203,0.09270,0.00363
10,tour,0,12,10,0.90,true,0.32775,0.00525,0.05284,1.72514,0.00569,0.9120,0.0000,0.9209,0.12395,0.00389
10,tour,0,12,10,1.00,true,0.31350,0.00519,0.07185,1.75843,0.00577,1.0118,0.0000,1.0200,0.15723,0.00412
10,tour,0,12,10,1.10,true,0.29925,0.00512,0.09346,1.79433,0.00585,1.1120,0.0000,1.1197,0.19313,0.00434
10,tour,0,12,10,1.20,true,0.28313,0.00504,0.11751,1.83455,0.00592,1.2124,0.0000,1.2197,0.23336,0.00460
10,tour,0,12,15,0.00,true,0.16487,0.00415,0.00126,1.83638,0.00416,0.2415,0.5800,0.2884,0.06640,0.00402
10,tour,0,12,15,0.10,true,0.19687,0.00445,0.00170,1.80483,0.00446,0.2890,0.4478,0.3019,0.03484,0.00350
10,tour,0,12,15,0.20,true,0.22025,0.00463,0.00308,1.78283,0.00465,0.3409,0.3166,0.3392,0.01284,0.00280
10,tour,0,12,15,0.30,true,0.23463,0.00474,0.00573,1.77111,0.00478,0.4042,0.2115,0.3973,0.00112,0.00192
10,tour,0,12,15,0.40,true,0.24013,0.00478,0.01010,1.76999,0.00485,0.4748,0.1334,0.4696,0.00000,0.00000
10,tour,0,12,15,0.50,true,0.23988,0.00477,0.01664,1.77678,0.00489,0.5538,0.0802,0.5530,0.00679,0.00179
10,tour,0,12,15,0.60,true,0.23550,0.00474,0.02573,1.79025,0.00493,0.6385,0.0484,0.6414,0.02027,0.00224
10,tour,0,12,15,0.70,true,0.22837,0.00469,0.03773,1.80940,0.00496,0.7282,0.0271,0.7355,0.03941,0.00267
10,tour,0,12,15,0.80,true,0.21863,0.00462,0.05291,1.83434,0.00499,0.8211,0.0141,0.8319,0.06435,0.00300
10,tour,0,12,15,0.90,true,0.20938,0.00455,0.07101,1.86172,0.00503,0.9163,0.0063,0.9298,0.09173,0.00326
10,tour,0,12,15,1.00,true,0.20112,0.00448,0.09161,1.89061,0.00509,1.0151,0.0039,1.0283,0.12062,0.00346
10,tour,0,12,15,1.10,true,0.19050,0.00439,0.11455,1.92421,0.00512,1.1133,0.0019,1.1268,0.15423,0.00369
10,tour,0,12,15,1.20,true,0.18188,0.00431,0.13925,1.95759,0.00517,1.2129,0.0009,1.2262,0.18761,0.00389
