stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,tour,0,12,10,0.00,true,0.27063,0.00497,0.00003,1.72940,0.00497,0.1609,0.6213,0.1957,0.12103,0.00477
10,tour,0,12,10,0.10,true,0.34000,0.00530,0.00007,1.66007,0.00530,0.2093,0.4134,0.2132,0.05170,0.00382
10,tour,0,12,10,0.20,true,0.38062,0.00543,0.00027,1.61964,0.00543,0.2729,0.2343,0.2667,0.01127,0.00259
10,tour,0,12,10,0.30,true,0.39250,0.00546,0.00087,1.60837,0.00547,0.3473,0.1121,0.3446,0.00000,0.00000
10,tour,0,12,10,0.40,true,0.38975,0.00545,0.00233,1.61258,0.00547,0.4323,0.0514,0.4342,0.00420,0.00199
10,tour,0,12,10,0.50,true,0.37825,0.00542,0.00516,1.62691,0.00547,0.5224,0.0215,0.5283,0.01854,0.00258
10,tour,0,12,10,0.60,true,0.36625,0.00539,0.01000,1.64375,0.00548,0.6168,0.0069,0.6259,0.03537,0.00297
10,tour,0,12,10,0.70,true,0.35213,0.00534,0.01743,1.66530,0.00549,0.7152,0.0031,0.7241,0.05693,0.00322
10,tour,0,12,10,0.80,true,0.33675,0.00528,0.02778,1.69103,0.00552,0.8147,0.0011,0.8235,0.08266,0.00349
10,tour,0,12,10,0.90,true,0.32450,0.00523,0.04103,1.71653,0.00557,0.9142,0.0002,0.9229,0.10816,0.00371
10,tour,0,12,10,1.00,true,0.30725,0.00516,0.05788,1.75063,0.00562,1.0149,0.0002,1.0228,0.14226,0.00400
10,tour,0,12,10,1.10,true,0.29063,0.00508,0.07776,1.78713,0.00568,1.1150,0.0000,1.1226,0.17876,0.00426
10,tour,0,12,10,1.20,true,0.27675,0.00500,0.10020,1.82345,0.00575,1.2155,0.0000,1.2226,0.21508,0.00449
