stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,hcp30,0,12,10,0.00,true,0.12500,0.00370,0.07435,1.95086,0.00426,0.4139,0.5653,0.4471
8,hcp30,0,12,10,0.10,true,0.13862,0.00386,0.08109,1.94419,0.00450,0.4657,0.4850,0.4654
8,hcp30,0,12,10,0.20,true,0.14825,0.00397,0.09392,1.94779,0.00472,0.5202,0.4050,0.4990
8,hcp30,0,12,10,0.30,true,0.15575,0.00405,0.11205,1.95903,0.00496,0.5819,0.3348,0.5462
8,hcp30,0,12,10,0.40,true,0.15837,0.00408,0.13506,1.98026,0.00517,0.6478,0.2716,0.6050
8,hcp30,0,12,10,0.50,true,0.15862,0.00408,0.16176,2.00778,0.00537,0.7180,0.2191,0.6725
8,hcp30,0,12,10,0.60,true,0.15500,0.00405,0.19163,2.04260,0.00554,0.7939,0.1783,0.7467
8,hcp30,0,12,10,0.70,true,0.14963,0.00399,0.22418,2.08213,0.00567,0.8717,0.1426,0.8272
8,hcp30,0,12,10,0.80,true,0.14313,0.00392,0.25915,2.12551,0.00579,0.9574,0.1164,0.9138
8,hcp30,0,12,10,0.90,true,0.13600,0.00383,0.29550,2.17119,0.00587,1.0452,0.0945,1.0046
8,hcp30,0,12,10,1.00,true,0.12650,0.00372,0.33237,2.22008,0.00590,1.1316,0.0753,1.0968
8,hcp30,0,12,10,1.10,true,0.11750,0.00360,0.36860,2.26812,0.00590,1.2190,0.0593,1.1907
8,hcp30,0,12,10,1.20,true,0.10887,0.00348,0.40401,2.31523,0.00588,1.3107,0.0484,1.2861
8,hcp30,0,12,15,0.00,true,0.06588,0.00277,0.17592,2.11514,0.00405,0.6106,0.5363,0.6749
8,hcp30,0,12,15,0.10,true,0.06888,0.00283,0.18268,2.11926,0.00415,0.6676,0.4883,0.6909
8,hcp30,0,12,15,0.20,true,0.07287,0.00291,0.19356,2.12672,0.00430,0.7250,0.4389,0.7182
8,hcp30,0,12,15,0.30,true,0.07762,0.00299,0.20798,2.13723,0.00448,0.7827,0.3904,0.7553
8,hcp30,0,12,15,0.40,true,0.07938,0.00302,0.22565,2.15423,0.00463,0.8400,0.3426,0.8000
8,hcp30,0,12,15,0.50,true,0.08113,0.00305,0.24570,2.17386,0.00479,0.9011,0.2991,0.8527
8,hcp30,0,12,15,0.60,true,0.07938,0.00302,0.26835,2.19987,0.00489,0.9707,0.2642,0.9111
8,hcp30,0,12,15,0.70,true,0.07637,0.00297,0.29271,2.22909,0.00497,1.0410,0.2324,0.9747
8,hcp30,0,12,15,0.80,true,0.07425,0.00293,0.31801,2.25862,0.00505,1.1138,0.2042,1.0435
8,hcp30,0,12,15,0.90,true,0.07162,0.00288,0.34496,2.29058,0.00512,1.1886,0.1773,1.1187
8,hcp30,0,12,15,1.00,true,0.06825,0.00282,0.37202,2.32365,0.00516,1.2638,0.1540,1.1959
8,hcp30,0,12,15,1.10,true,0.06550,0.00277,0.39912,2.35635,0.00519,1.3408,0.1331,1.2770
8,hcp30,0,12,15,1.20,true,0.06288,0.00271,0.42639,2.38936,0.00522,1.4196,0.1144,1.3613
8,hcp30,0,12,20,0.00,true,0.03550,0.00207,0.27296,2.24796,0.00391,0.8218,0.5185,0.8919
8,hcp30,0,12,20,0.10,true,0.03750,0.00212,0.28009,2.25368,0.00400,0.8721,0.4766,0.9116
8,hcp30,0,12,20,0.20,true,0.03875,0.00216,0.28958,2.26275,0.00408,0.9232,0.4363,0.9375
8,hcp30,0,12,20,0.30,true,0.03950,0.00218,0.30120,2.27470,0.00417,0.9812,0.4007,0.9699
8,hcp30,0,12,20,0.40,true,0.04150,0.00223,0.31451,2.28732,0.00429,1.0413,0.3667,1.0099
8,hcp30,0,12,20,0.50,true,0.04125,0.00222,0.32991,2.30454,0.00437,1.0989,0.3322,1.0552
8,hcp30,0,12,20,0.60,true,0.04125,0.00222,0.34676,2.32320,0.00446,1.1619,0.3013,1.1069
8,hcp30,0,12,20,0.70,true,0.04213,0.00225,0.36458,2.34218,0.00456,1.2218,0.2692,1.1645
8,hcp30,0,12,20,0.80,true,0.04088,0.00221,0.38355,2.36468,0.00462,1.2864,0.2420,1.2251
8,hcp30,0,12,20,0.90,true,0.03913,0.00217,0.40355,2.38893,0.00465,1.3522,0.2166,1.2896
8,hcp30,0,12,20,1.00,true,0.03650,0.00210,0.42411,2.41486,0.00465,1.4271,0.1982,1.3564
8,hcp30,0,12,20,1.10,true,0.03400,0.00203,0.44542,2.44165,0.00465,1.5012,0.1796,1.4277
8,hcp30,0,12,20,1.20,true,0.03300,0.00200,0.46640,2.46680,0.00468,1.5737,0.1608,1.5024
8,hcp30,1,12,10,0.00,true,0.13150,0.00378,0.07133,1.94129,0.00433,0.4067,0.5662,0.4445
8,hcp30,1,12,10,0.10,true,0.14925,0.00398,0.08052,1.93288,0.00462,0.4622,0.4852,0.4649
8,hcp30,1,12,10,0.20,true,0.15675,0.00406,0.09527,1.94046,0.00484,0.5221,0.4134,0.4959
8,hcp30,1,12,10,0.30,true,0.16275,0.00413,0.11565,1.95537,0.00508,0.5863,0.3464,0.5412
8,hcp30,1,12,10,0.40,true,0.16837,0.00418,0.14086,1.97571,0.00534,0.6551,0.2853,0.5996
8,hcp30,1,12,10,0.50,true,0.17150,0.00421,0.16870,2.00137,0.00558,0.7241,0.2326,0.6654
8,hcp30,1,12,10,0.60,true,0.17100,0.00421,0.20013,2.03451,0.00580,0.7994,0.1891,0.7403
8,hcp30,1,12,10,0.70,true,0.17012,0.00420,0.23368,2.07040,0.00601,0.8790,0.1517,0.8232
8,hcp30,1,12,10,0.80,true,0.16537,0.00415,0.26890,2.11214,0.00616,0.9600,0.1195,0.9106
8,hcp30,1,12,10,0.90,true,0.15812,0.00408,0.30342,2.15587,0.00626,1.0426,0.0976,0.9967
8,hcp30,1,12,10,1.00,true,0.15438,0.00404,0.33821,2.19670,0.00639,1.1315,0.0785,1.0908
8,hcp30,1,12,10,1.10,true,0.14650,0.00395,0.37342,2.24238,0.00643,1.2191,0.0622,1.1851
8,hcp30,1,12,10,1.20,true,0.14050,0.00389,0.40700,2.28480,0.00648,1.3095,0.0496,1.2815
8,hcp30,1,12,15,0.00,true,0.07612,0.00297,0.16688,2.09556,0.00419,0.6166,0.5478,0.6594
8,hcp30,1,12,15,0.10,true,0.08225,0.00307,0.17539,2.09823,0.00437,0.6666,0.4941,0.6761
8,hcp30,1,12,15,0.20,true,0.08513,0.00312,0.18822,2.10872,0.00452,0.7192,0.4404,0.7027
8,hcp30,1,12,15,0.30,true,0.08787,0.00317,0.20423,2.12273,0.00469,0.7700,0.3856,0.7386
8,hcp30,1,12,15,0.40,true,0.09012,0.00320,0.22296,2.14018,0.00486,0.8298,0.3402,0.7830
8,hcp30,1,12,15,0.50,true,0.09112,0.00322,0.24451,2.16197,0.00502,0.8906,0.2957,0.8353
8,hcp30,1,12,15,0.60,true,0.09062,0.00321,0.26903,2.18853,0.00515,0.9656,0.2623,0.8962
8,hcp30,1,12,15,0.70,true,0.09087,0.00321,0.29397,2.21495,0.00529,1.0377,0.2317,0.9610
8,hcp30,1,12,15,0.80,true,0.08987,0.00320,0.32123,2.24524,0.00541,1.1105,0.2005,1.0331
