stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
8,tour,0,12,10,0.00,true,0.27490,0.00446,0.00006,1.72516,0.00447,0.1652,0.6285,0.1968,0.11087,0.00429
8,tour,0,12,10,0.10,true,0.34430,0.00475,0.00013,1.65583,0.00475,0.2120,0.4151,0.2151,0.04155,0.00337
8,tour,0,12,10,0.20,true,0.38000,0.00485,0.00045,1.62045,0.00486,0.2727,0.2313,0.2678,0.00616,0.00225
8,tour,0,12,10,0.30,true,0.38700,0.00487,0.00129,1.61429,0.00488,0.3472,0.1153,0.3435,0.00000,0.00000
8,tour,0,12,10,0.40,true,0.38430,0.00486,0.00309,1.61879,0.00489,0.4297,0.0466,0.4334,0.00450,0.00197
8,tour,0,12,10,0.50,true,0.36810,0.00482,0.00663,1.63853,0.00488,0.5226,0.0203,0.5289,0.02424,0.00254
8,tour,0,12,10,0.60,true,0.34900,0.00477,0.01258,1.66358,0.00486,0.6173,0.0083,0.6254,0.04929,0.00289
8,tour,0,12,10,0.70,true,0.33030,0.00470,0.02154,1.69124,0.00487,0.7150,0.0024,0.7242,0.07695,0.00319
8,tour,0,12,10,0.80,true,0.31020,0.00463,0.03393,1.72373,0.00487,0.8149,0.0013,0.8234,0.10944,0.00347
8,tour,0,12,10,0.90,true,0.29430,0.00456,0.04953,1.75523,0.00490,0.9148,0.0007,0.9227,0.14095,0.00368
8,tour,0,12,10,1.00,true,0.27240,0.00445,0.06900,1.79660,0.00491,1.0153,0.0000,1.0231,0.18232,0.00395
8,tour,0,12,10,1.10,true,0.25340,0.00435,0.09140,1.83801,0.00493,1.1164,0.0000,1.1237,0.22372,0.00417
8,tour,0,12,10,1.20,true,0.23290,0.00423,0.11688,1.88399,0.00493,1.2176,0.0000,1.2244,0.26970,0.00439
8,tour,0,12,15,0.00,true,0.15540,0.00362,0.00098,1.84558,0.00363,0.2413,0.5798,0.2882,0.06171,0.00371
8,tour,0,12,15,0.10,true,0.18780,0.00391,0.00132,1.81352,0.00391,0.2914,0.4490,0.3030,0.02965,0.00318
8,tour,0,12,15,0.20,true,0.20980,0.00407,0.00245,1.79265,0.00409,0.3434,0.3188,0.3404,0.00878,0.00253
8,tour,0,12,15,0.30,true,0.21970,0.00414,0.00472,1.78502,0.00417,0.4075,0.2193,0.3965,0.00115,0.00176
8,tour,0,12,15,0.40,true,0.22470,0.00417,0.00857,1.78387,0.00423,0.4777,0.1397,0.4690,0.00000,0.00000
8,tour,0,12,15,0.50,true,0.22450,0.00417,0.01446,1.78996,0.00426,0.5534,0.0803,0.5525,0.00609,0.00160
8,tour,0,12,15,0.60,true,0.21900,0.00414,0.02290,1.80390,0.00428,0.6375,0.0452,0.6422,0.02003,0.00212
8,tour,0,12,15,0.70,true,0.21170,0.00409,0.03420,1.82250,0.00429,0.7272,0.0241,0.7364,0.03863,0.00246
8,tour,0,12,15,0.80,true,0.20030,0.00400,0.04851,1.84821,0.00429,0.8208,0.0130,0.8323,0.06434,0.00274
8,tour,0,12,15,0.90,true,0.18610,0.00389,0.06602,1.87993,0.00427,0.9174,0.0075,0.9295,0.09606,0.00302
8,tour,0,12,15,1.00,true,0.17370,0.00379,0.08657,1.91288,0.00427,1.0168,0.0048,1.0286,0.12900,0.00326
8,tour,0,12,15,1.10,true,0.16250,0.00369,0.10942,1.94693,0.00427,1.1148,0.0027,1.1268,0.16306,0.00345
8,tour,0,12,15,1.20,true,0.14790,0.00355,0.13531,1.98742,0.00424,1.2141,0.0014,1.2263,0.20355,0.00368
8,tour,0,12,20,0.00,true,0.10090,0.00301,0.00421,1.90331,0.00303,0.3238,0.5428,0.3776,0.02540,0.00267
8,tour,0,12,20,0.10,true,0.11600,0.00320,0.00531,1.88931,0.00323,0.3685,0.4387,0.3924,0.01140,0.00220
8,tour,0,12,20,0.20,true,0.12690,0.00333,0.00787,1.88097,0.00337,0.4213,0.3425,0.4256,0.00306,0.00154
8,tour,0,12,20,0.30,true,0.13420,0.00341,0.01211,1.87791,0.00347,0.4775,0.2539,0.4748,0.00000,0.00000
8,tour,0,12,20,0.40,true,0.13610,0.00343,0.01815,1.88205,0.00352,0.5420,0.1852,0.5359,0.00414,0.00142
8,tour,0,12,20,0.50,true,0.13640,0.00343,0.02644,1.89004,0.00357,0.6109,0.1266,0.6090,0.01213,0.00196
8,tour,0,12,20,0.60,true,0.13410,0.00341,0.03723,1.90313,0.00361,0.6878,0.0856,0.6898,0.02522,0.00228
8,tour,0,12,20,0.70,true,0.12990,0.00336,0.05072,1.92082,0.00363,0.7696,0.0544,0.7777,0.04291,0.00258
8,tour,0,12,20,0.80,true,0.12370,0.00329,0.06700,1.94330,0.00365,0.8578,0.0345,0.8700,0.06540,0.00283
8,tour,0,12,20,0.90,true,0.11560,0.00320,0.08576,1.97017,0.00364,0.9473,0.0205,0.9637,0.09226,0.00302
8,tour,0,12,20,1.00,true,0.10660,0.00309,0.10713,2.00054,0.00362,1.0412,0.0126,1.0594,0.12264,0.00319
8,tour,0,12,20,1.10,true,0.09980,0.00300,0.13073,2.03094,0.00362,1.1380,0.0074,1.1577,0.15303,0.00337
8,tour,0,12,20,1.20,true,0.09100,0.00288,0.15664,2.06566,0.00359,1.2355,0.0039,1.2563,0.18775,0.00354
8,tour,0,12,30,0.00,true,0.05460,0.00227,0.02522,1.97062,0.00239,0.4844,0.5213,0.5903,0.00378,0.00106
8,tour,0,12,30,0.10,true,0.06040,0.00238,0.02724,1.96684,0.00251,0.5287,0.4543,0.6032,0.00000,0.00000
8,tour,0,12,30,0.20,true,0.06370,0.00244,0.03140,1.96770,0.00260,0.5785,0.3905,0.6279,0.00086,0.00120
8,tour,0,12,30,0.30,true,0.06710,0.00250,0.03766,1.97056,0.00270,0.6313,0.3291,0.6642,0.00373,0.00166
8,tour,0,12,30,0.40,true,0.06950,0.00254,0.04605,1.97655,0.00279,0.6887,0.2745,0.7099,0.00971,0.00195
8,tour,0,12,30,0.50,true,0.06980,0.00255,0.05657,1.98677,0.00285,0.7455,0.2212,0.7642,0.01994,0.00220
8,tour,0,12,30,0.60,true,0.06860,0.00253,0.06918,2.00059,0.00290,0.8123,0.1812,0.8257,0.03375,0.00239
8,tour,0,12,30,0.70,true,0.06670,0.00250,0.08398,2.01729,0.00295,0.8817,0.1449,0.8950,0.05045,0.00261
8,tour,0,12,30,0.80,true,0.06320,0.00243,0.10081,2.03762,0.00297,0.9551,0.1150,0.9695,0.07079,0.00279
8,tour,0,12,30,0.90,true,0.06200,0.00241,0.11939,2.05741,0.00303,1.0323,0.0896,1.0502,0.09057,0.00297
8,tour,0,12,30,1.00,true,0.05840,0.00234,0.13986,2.08149,0.00305,1.1116,0.0680,1.1346,0.11465,0.00314
8,tour,0,12,30,1.10,true,0.05340,0.00225,0.16189,2.10853,0.00304,1.1946,0.0517,1.2215,0.14169,0.00329
8,tour,0,12,30,1.20,true,0.05040,0.00219,0.18492,2.13457,0.00307,1.2791,0.0377,1.3112,0.16773,0.00341
8,tour,0,12,40,0.00,true,0.02930,0.00169,0.06863,2.03934,0.00207,0.6367,0.5214,0.8224,0.00000,0.00000
8,tour,0,12,40,0.10,true,0.03110,0.00174,0.07092,2.03983,0.00213,0.6804,0.4723,0.8321,0.00049,0.00080
8,tour,0,12,40,0.20,true,0.03240,0.00177,0.07536,2.04297,0.00219,0.7262,0.4227,0.8512,0.00363,0.00120
8,tour,0,12,40,0.30,true,0.03380,0.00181,0.08157,2.04778,0.00227,0.7753,0.3761,0.8780,0.00844,0.00144
8,tour,0,12,40,0.40,true,0.03550,0.00185,0.08973,2.05424,0.00236,0.8269,0.3315,0.9132,0.01491,0.00167
8,tour,0,12,40,0.50,true,0.03650,0.00188,0.09989,2.06341,0.00244,0.8805,0.2877,0.9566,0.02407,0.00193
8,tour,0,12,40,0.60,true,0.03580,0.00186,0.11184,2.07606,0.00249,0.9394,0.2499,1.0056,0.03672,0.00212
8,tour,0,12,40,0.70,true,0.03610,0.00187,0.12548,2.08941,0.00257,0.9988,0.2130,1.0617,0.05007,0.00231
8,tour,0,12,40,0.80,true,0.03590,0.00186,0.14053,2.10467,0.00264,1.0668,0.1842,1.1230,0.06533,0.00249
8,tour,0,12,40,0.90,true,0.03480,0.00183,0.15711,2.12236,0.00270,1.1327,0.1551,1.1891,0.08302,0.00267
8,tour,0,12,40,1.00,true,0.03420,0.00182,0.17488,2.14075,0.00276,1.2042,0.1313,1.2600,0.10141,0.00283
8,tour,0,12,40,1.10,true,0.03230,0.00177,0.19381,2.16158,0.00279,1.2760,0.1097,1.3334,0.12224,0.00295
8,tour,0,12,40,1.20,true,0.03130,0.00174,0.21377,2.18256,0.00283,1.3541,0.0924,1.4121,0.14322,0.00308
8,tour,0,12,50,0.00,true,0.02040,0.00141,0.12856,2.10819,0.00215,0.8148,0.5113,1.0742,0.00000,0.00000
8,tour,0,12,50,0.10,true,0.02140,0.00145,0.13160,2.11023,0.00220,0.8593,0.4726,1.0862,0.00204,0.00063
8,tour,0,12,50,0.20,true,0.02150,0.00145,0.13651,2.11504,0.00224,0.9010,0.4309,1.1049,0.00685,0.00101
8,tour,0,12,50,0.30,true,0.02060,0.00142,0.14303,2.12247,0.00225,0.9463,0.3915,1.1291,0.01428,0.00127
8,tour,0,12,50,0.40,true,0.02160,0.00145,0.15099,2.12943,0.00233,0.9980,0.3561,1.1607,0.02124,0.00149
8,tour,0,12,50,0.50,true,0.02070,0.00142,0.16072,2.14007,0.00236,1.0571,0.3253,1.1980,0.03188,0.00174
8,tour,0,12,50,0.60,true,0.02030,0.00141,0.17182,2.15158,0.00240,1.1124,0.2924,1.2414,0.04339,0.00197
8,tour,0,12,50,0.70,true,0.02000,0.00140,0.18399,2.16406,0.00246,1.1649,0.2594,1.2889,0.05587,0.00212
8,tour,0,12,50,0.80,true,0.02000,0.00140,0.19748,2.17757,0.00252,1.2207,0.2282,1.3424,0.06938,0.00230
8,tour,0,12,50,0.90,true,0.02040,0.00141,0.21196,2.19166,0.00259,1.2759,0.1969,1.4011,0.08347,0.00247
8,tour,0,12,50,1.00,true,0.01970,0.00139,0.22753,2.20795,0.00263,1.3397,0.1720,1.4635,0.09977,0.00262
8,tour,0,12,50,1.10,true,0.01900,0.00137,0.24395,2.22509,0.00267,1.4070,0.1501,1.5297,0.11690,0.00276
8,tour,0,12,50,1.20,true,0.01850,0.00135,0.26095,2.24262,0.00271,1.4795,0.1322,1.5992,0.13443,0.00288
8,tour,0,12,60,0.00,true,0.01280,0.00112,0.20390,2.19118,0.00228,0.9644,0.5046,1.3656,0.00000,0.00000
8,tour,0,12,60,0.10,true,0.01380,0.00117,0.20714,2.19342,0.00233,1.0057,0.4701,1.3792,0.00224,0.00059
8,tour,0,12,60,0.20,true,0.01420,0.00118,0.21170,2.19759,0.00236,1.0511,0.4377,1.3975,0.00641,0.00085
8,tour,0,12,60,0.30,true,0.01370,0.00116,0.21757,2.20397,0.00237,1.0938,0.4036,1.4203,0.01279,0.00108
8,tour,0,12,60,0.40,true,0.01410,0.00118,0.22469,2.21069,0.00242,1.1437,0.3731,1.4493,0.01951,0.00128
8,tour,0,12,60,0.50,true,0.01440,0.00119,0.23297,2.21869,0.00246,1.1917,0.3414,1.4833,0.02751,0.00146
8,tour,0,12,60,0.60,true,0.01400,0.00117,0.24235,2.22849,0.00249,1.2428,0.3119,1.5212,0.03731,0.00162
